520056    T7A1F9     5322641149785ABPetro Canada                  5010 Industrial Road          Drayton Valley 7805424360S0022      0000           520056        5001          202406034.42622.85720.11410.39600.13401.18150.1142R0.37070000000000000000000000000
520057    T0J0Y0     5146151127287ABPetro Canada                  510 Premier Road              Drumheller     4038234833 0000     S0575           520057        5000          202406034.39112.94850.11410.39760.13091.16920.0683R0.37070000000000000000000000000
520028    T5V1C4     5357111135914ABPetro Canada                  15630 - 118 Avenue            Edmonton       7804251102S0016      0000           520028        5001          202406034.31842.85720.11410.39600.06101.14370.0764R0.37070000000000000000000000000
520058    T6B1E5     5351671134175ABPetro Canada                  8025-50 Street                Edmonton       7804694858 0000     S0075           520058        5001          202406034.30812.85720.11410.39600.06471.14010.0728R0.37070000000000000000000000000
232082    T5V1M8     5357061136117ABFlying J #850                 16806 118 Ave Nw              Edmonton       7804551111S0016      0000           232082        5001          202406034.55962.85720.11410.39640.02001.05370.1536R0.37070000000000000000000000000
521607    T6B2S8     5351181133954ABESSO EDMONTON 76 AVE          3515 76 Ave Nw                Edmonton       7804131826S0100      0000           521607        5001          202406024.14042.85720.11410.39600.02851.08130.0140R0.37070000000000000000000000000
520060    T7X5A4     5356511137613ABPetro Canada                  102, 26230 Township Road 531a Edmonton       7809600872S0000      0000           520060        5001          202406034.32442.85720.11410.39600.06931.14580.0785R0.37070000000000000000000000000
520061    T5W5G4     5356511137602ABPetro Canada                  6031-125 Avenue               Edmonton       7804743324S0016      0000           520061        5001          202406034.30732.85720.11410.39600.06931.13980.0725R0.37070000000000000000000000000
232072    T7E1N9     5358211164248ABFlying J #818                 2520 2 Ave                    Edson          7807234744S0016      0000           232072        5001          202406035.01592.85720.11410.39710.06051.06860.2987R0.37070000000000000000000000000
520062    T7E1M1     5357651164565ABPetro Canada                  6330 - 4 Avenue               Edson          7807233134S0016      0000           520062        5001          202406034.43992.85720.11410.39600.20731.18630.1190R0.37070000000000000000000000000
520063    T0H1M0     5572521172026ABPetro Canada                  Highway 49 & Main Street      Falher         7808372332 0000     S0049           520063        5001          202406034.44212.85720.11410.39600.27571.18710.1198R0.37070000000000000000000000000
520064    T9H3G4     5713301116131ABPetro Canada                  Hwy 63 North                  Fort Mackay    7807909755 0000     S0063           520064        5001          202406034.58332.85720.11410.39600.26411.23660.1693R0.37070000000000000000000000000
520029    T9H5M1     5666861113447ABPetro Canada                  365 Macalpine Crescent        Fort Mcmurray  7807432459 0000     S0063           520029        5001          202406034.52282.85720.11410.39600.25091.21540.1481R0.37070000000000000000000000000
520065    T9K0T4     5677181114194ABPetro Canada                  920 Memorial Drive            Fort Mcmurray  7807432459 0000     S0063           520065        5001          202406034.52282.85720.11410.39600.25351.21540.1481R0.37070000000000000000000000000
520066    T8L3K8     5370621131963ABPetro Canada                  11128 - 88th Avenue           Fort Saskatchew7809982432 0000     S0015           520066        5001          202406034.30752.85720.11410.39600.07561.13990.0726R0.37070000000000000000000000000
520067    T0H1P0     5439311167994ABPetro Canada                  109 - 1 Avenue                Fox Creek      7806223007 0000     S0043           520067        5001          202406034.43672.85720.11410.39600.23041.18520.1179R0.37070000000000000000000000000
232010    T8V4C9     5516291188212ABFlying J #820                 9212 108 St                   Grande Prairie 7805322378S0040      0000           232010        5001          202406025.12992.85720.11410.39780.10381.08450.3228R0.37070000000000000000000000000
520068    T8V5M1     5517081188514ABPetro Canada                  Hwy. #43 (100th Ave)          Grande Prairie 7805327289 0000     S0043           520068        5027          202406034.44783.36570.11410.40490.29971.18910.0654R0.37070000000000000000000000000
520069    T8V5Z5     5516751188380ABPetro Canada                  11410 - 97 Avenue             Grande Prairie 7805327366 0000     S0043           520069        5027          202406034.44473.36570.11410.40490.29971.18800.0665R0.37070000000000000000000000000
522450    T0A1V1     5482031126905ABESSO GRASSLAND 50TH AVE       5004 50th Ave                 Grassland      7805253960 0000     S0063           522450        5001          202406024.20322.85720.11410.39600.13401.10330.0360R0.37070000000000000000000000000
232081    T0J1P0     5161901118500ABSFJ Inc #846                  Hwy 9                         Hanna          4038545000S0036      0000           232081        5001          202406035.07292.85720.11410.39770.09551.08150.3058R0.37070000000000000000000000000
520070    T0J1P0     5164011119418ABPetro Canada                  202 Palliser Trail            Hanna          4033462002 0000     S0009           520070        5000          202406034.42252.94850.11410.39760.17171.18020.0793R0.37070000000000000000000000000
520071    T0B1V0     5267011113144ABPetro Canada                  Highway #881 Box 262          Hardisty       7808883555 0000     S0881           520071        5001          202406034.40562.85720.11410.39600.18111.17430.1070R0.37070000000000000000000000000
520072    T0H1Z0     5849841171475ABPetro Canada                  11915 - 95 Street             High Level     7809264201 0000     S0035           520072        5001          202406034.62752.85720.11410.39600.37041.25210.1848R0.37070000000000000000000000000
520073    T0G1E0     5543261165075ABPetro Canada                  5401 - 53 Avenue              High Prairie   7805234282S0002      0000           520073        5001          202406034.48012.85720.11410.39600.23721.20040.1331R0.37070000000000000000000000000
520074    T7V1T4     5339661176009ABPetro Canada                  470 Carmichael Lane           Hinton         7808651771S0016      0000           520074        5027          202406034.43593.36570.11410.40490.25581.18490.0696R0.37070000000000000000000000000
528508    T0L1N0     5110281150160ABESSO KANANASKIS               100 NAKODA WAY                KANANASKIS     5877778556S0000      0000           528508        5000          202406024.12332.94850.11410.34390.14061.07530.0212R0.37070000000000000000000000000
520599    T0H2H0     5819151163999ABPetro Canada                  10507 – 99 St                 La Crete       7805023855 0000     S0697           520599        5001          202406034.71222.85720.11410.39600.33561.28180.2145R0.37070000000000000000000000000
520075    T0A2C0     5476231120110ABPetro Canada                  Highway 55 & Airport Road     Lac La Biche   7806234560 0000     S0055           520075        5001          202406034.46782.85720.11410.39600.15631.19610.1288R0.37070000000000000000000000000
501715    T9E7G2     5329941135439ABESSO LEDUC SPARROW            8020 Sparrow Dr               Leduc          7809867867S0002      0000           501715        5001          202406023.92662.85720.11410.39680.04561.00630.0778R0.37070000000000000000000000000
520076    T1H0C6     4970051127905ABPetro Canada                  3240 - 2 Avenue North         Lethbridge     4033289228 0000     S0003           520076        5000          202406034.46782.94850.11410.39760.14861.19610.0952R0.37070000000000000000000000000
232032    T1K7B8     4968351127793ABFlying J #821                 1005 43 St. S                 Lethbridge Coun4033284735 0000     S0003           232032        5000          202406024.84482.94850.11410.39900.07731.10840.1989R0.37070000000000000000000000000
520077    S9V1G2     5327861100308ABPetro Canada                  5904 - 44 Street Box 1339     Lloydminster   7808752495S0016      0000           520077        5001          202406034.40822.85720.11410.39600.23811.17520.1079R0.37070000000000000000000000000
232017    T9V2E7     5327691100368ABFlying J #822                 5109 63 Ave                   Lloydminster   7808752990S0016      0000           232017        5001          202406024.73072.85720.11410.39770.09721.08210.1852R0.37070000000000000000000000000
520078    T0H2M0     5694431176242ABPetro Canada                  Hwy 35                        Manning        7806243003 0000     S0035           520078        5001          202406034.48662.85720.11410.39600.32881.20270.1354R0.37070000000000000000000000000
521408    T1C0C8     5006441107328ABPetro Canada                  2900 Box Springs Blvd NW      Medicine Hat   4035288976 0000     S0001           521408        5000          202406024.49122.94850.11410.39760.23411.20430.1034R0.37070000000000000000000000000
520079    T1A7T9     5002201107102ABPetro Canada                  1802 - 10 Avenue S.W.         Medicine Hat   4035276411 0000     S0003           520079        5000          202406034.48232.94850.11410.39760.23641.20120.1003R0.37070000000000000000000000000
232179    T1C1W7     5005301107327ABSFJ #868                      2194 Saamis Dr Nw             Medicine Hat   4035250959 0000     S0001           232179        5000          202406034.84482.94850.11410.39920.09271.11400.1933R0.37070000000000000000000000000
517939    T0L1R0     5034751137729ABFlying J #869                 2810 21 Ave                   Nanton         4036462810S0002      0000           517939        5000          202406034.73072.94850.11410.39800.02451.08890.1784R0.37070000000000000000000000000
520030    T9E8L5     5333701135428ABPetro Canada                  1916 Sparrow Drive            Nisku          7809557443S0000      0000           520030        5001          202406034.32662.85720.11410.39600.07011.14660.0793R0.37070000000000000000000000000
232013    T9E7Z9     5333811135440ABFlying J #795                 302 20 Ave                    Nisku          7809553535S0002      0000           232013        5001          202406034.55962.85720.11410.39640.02141.05420.1531R0.37070000000000000000000000000
520080    T4H1A1     5179531140959ABPetro Canada                  4517 - 46 Avenue              Olds           4035568009S0002      0000           520080        5000          202406034.40162.94850.11410.39760.10091.17290.0720R0.37070000000000000000000000000
520081    T8S1M5     5623461173434ABPetro Canada                  7510 - 99th Avenue            Peace River    7806243003S0002      0000           520081        5001          202406034.43762.85720.11410.39600.29571.18550.1182R0.37070000000000000000000000000
520082    T0K1W0     4948571139322ABPetro Canada                  1093 Main Street              Pincher Creek  4036273170S0006      0000           520082        5000          202406034.46842.94850.11410.39760.13261.19630.0954R0.37070000000000000000000000000
520083    T0B3S0     5236091102570ABPetro Canada                  Highway #13 & Box 719         Provost        7807532607S0000      0000           520083        5001          202406034.40312.85720.11410.39600.23721.17340.1061R0.37070000000000000000000000000
520031    T4P3R3     5231431138402ABPetro Canada                  8009 Edgar Industrial Place   Red Deer       4033462002 0000     S0011           520031        5001          202406034.38402.85720.11410.39600.12491.16670.0994R0.37070000000000000000000000000
232085    T4P1A4     5229131138491ABFlying J #796                 68 Ave                        Red Deer       4033462711S0002      0000           232085        5001          202406034.73072.85720.11410.39670.03821.06040.2069R0.37070000000000000000000000000
520084    T4N4L9     5226391138221ABPetro Canada                  4323 - 54 Avenue              Red Deer       4033462002S0002      0000           520084        5000          202406034.38402.94850.11410.39760.12631.16670.0658R0.37070000000000000000000000000
520085    T0G1X0     5653141153078ABPetro Canada                  Highway #88                   Red Earth Creek7806493666S0088      0000           520085        5001          202406034.53022.85720.11410.39600.23411.21800.1507R0.37070000000000000000000000000
520086    T0J2P0     5007721107623ABPetro Canada                  1700 Broadway Ave East        Redcliff       4035276411 0000     S0001           520086        5000          202406034.47042.94850.11410.39760.23271.19700.0961R0.37070000000000000000000000000
520087    T4T1B1     5237041149095ABPetro Canada                  4703 - 45 Street              Rocky Mountain 4038453369S0022      0000           520087        5000          202406034.39342.94850.11410.39760.14261.17000.0691R0.37070000000000000000000000000
